Var,Num
Tmin_wt,203
PAS_wt,184
PPT_JAS,163
Tmax_wt,135
PPT_MJ,129
Tave_wt,120
DD_18_wt,119
CMI,106
DD5_wt,83
CMDMax,75
PAS,73
CMD.total,66
PAS_sp,60
SHM,57
AHM,56
Tmin_at,46
Eref_sm,45
Eref,34
DD5_sp,33
DD_0_at,33
Tmin,31
Tmin_sp,29
DD_0_sp,24
EXT,24
Tmin_sm,23
Tmax_sm,20
Tmax_sp,20
Eref_wt,20
CMD_sm,18
CMD.grow,17
NFFD_sp,16
DD_18_sp,16
NFFD_sm,16
CMD_sp,15
Eref_sp,15
TmaxJuly,15
Tave_sp,14
Tave_sm,12
DD18_sm,11
CMD,11
MWMT,9
