"","x"
"1","ESSFab"
"2","IMAab"
"3","MSab"
"4","SBAPfp"
"5","FGff"
"6","MGPmg"
"7","MGPdm"
"8",NA
"9","SBAPcp"
"10","BWBSuf"
"11","BWBSlf"
"12","FGnf"
"13","BWBSdm"
"14","BWBScm"
"15","BWBSpp"
"16","BWBSlb"
"17","BWBSub"
"18","BSJPap"
"19","BSJPku"
"20","BSJPpa"
"21","SASbo"
"22","BWBSnm"
"23","CWHxm2"
"24","CDFmm"
"25","CWHxm1"
"26","CWHvm1"
"27","CWHvm2"
"28","CWHmm1"
"29","CWHmm2"
"30","CWHvh1"
"31","MHmm1"
"32","CWHdm"
"33","MHmm2"
"34","CWHms1"
"35","CMAunp"
"36","CWHds1"
"37","IDFww"
"38","ESSFmw1"
"39","ESSFdh1"
"40","ESSFmww"
"41","IMAun"
"42","ESSFmwp"
"43","MSdm2"
"44","ESSFdc2"
"45","ESSFxc1"
"46","ESSFxcw"
"47","MSxk1"
"48","ESSFdcw"
"49","ESSFxcp"
"50","IDFdk2"
"51","IDFdk1"
"52","BGxh1"
"53","PPxh1"
"54","IDFxh1"
"55","IDFdm1"
"56","IDFdh"
"57","IDFxx1"
"58","MSdm1"
"59","ICHmk1"
"60","ESSFdcp"
"61","ICHxw"
"62","ICHxwa"
"63","ICHmw5"
"64","ICHdw1"
"65","ESSFmh"
"66","ESSFdc1"
"67","ICHmw4"
"68","ESSFwm3"
"69","ESSFwh3"
"70","ESSFwm4"
"71","ICHdm"
"72","ESSFdk1"
"73","MSdw"
"74","ESSFdkw"
"75","ESSFwmw"
"76","IDFdm2"
"77","IDFxx2"
"78","ESSFdkp"
"79","ESSFwmp"
"80","ESSFwm1"
"81","ESSFwh1"
"82","ICHmk4"
"83","ICHmw2"
"84","ESSFwcw"
"85","ESSFwc4"
"86","ESSFwh2"
"87","ESSFwm2"
"88","ESSFwcp"
"89","ESSFmw2"
"90","IMAunp"
"91","MSxk2"
"92","ICHxm1"
"93","ESSFxc2"
"94","ICHmk2"
"95","IDFxh2"
"96","ESSFdh2"
"97","PPxh2"
"98","ICHwk1"
"99","BGxw1"
"100","ESSFdk2"
"101","IDFxc"
"102","ESSFdv1"
"103","IDFdc"
"104","MSdk"
"105","MSmw2"
"106","MSdc1"
"107","ESSFdvp"
"108","ESSFdvw"
"109","PPxw"
"110","IDFww1"
"111","ICHdw4"
"112","BGxh2"
"113","MSxk3"
"114","ESSFxc3"
"115","IDFxk"
"116","MSdm3"
"117","IDFdk5"
"118","ESSFdc3"
"119","ICHmk5"
"120","ESSFdv2"
"121","IDFmw2"
"122","BGxh3"
"123","MSdc3"
"124","ICHvk1"
"125","IDFxw"
"126","ESSFmmp"
"127","BAFAun"
"128","ICHmw3"
"129","ESSFmmw"
"130","CMAun"
"131","ESSFxvp"
"132","IDFdk3"
"133","ESSFmm3"
"134","ESSFmw"
"135","ESSFxv1"
"136","MSdv"
"137","CWHws2"
"138","ESSFxv2"
"139","IDFdw"
"140","ESSFxvw"
"141","BGxw2"
"142","SBPSmk"
"143","MSdc2"
"144","MSxv"
"145","ESSFwc2"
"146","MHmmp"
"147","ESSFvcp"
"148","ESSFvc"
"149","SBPSxc"
"150","ESSFvcw"
"151","IDFxm"
"152","CWHvh2"
"153","CWHds2"
"154","IDFdk4"
"155","MHwh1"
"156","SBSmm"
"157","SBSdw2"
"158","ICHdw3"
"159","ICHmw1"
"160","CWHms2"
"161","SBSdw1"
"162","SBSmc1"
"163","BAFAunp"
"164","ICHmk3"
"165","ESSFwk1"
"166","ICHdk"
"167","CWHvh3"
"168","ESSFwc3"
"169","ESSFmm1"
"170","SBPSdc"
"171","ICHwk2"
"172","CWHwh1"
"173","CWHwh2"
"174","ICHmm"
"175","SBSmh"
"176","ESSFmc"
"177","ESSFmm2"
"178","SBSmc2"
"179","MHwh"
"180","MHwhp"
"181","SBPSmc"
"182","SBSmw"
"183","SBSwk1"
"184","ICHwk4"
"185","CMAwh"
"186","SBSdh1"
"187","SBSmc3"
"188","SBSdh2"
"189","ESSFmkp"
"190","ESSFmk"
"191","ESSFmv1"
"192","ESSFmcp"
"193","ESSFmvp"
"194","SBSdk"
"195","SBSmk1"
"196","SBSvk"
"197","SBSdw3"
"198","ICHwk3"
"199","ICHvk2"
"200","ESSFwk2"
"201","CWHws1"
"202","ESSFmv2"
"203","BWBSwk1"
"204","CWHwm"
"205","ESSFwvp"
"206","ESSFwv"
"207","SBSwk3a"
"208","SBSwk2"
"209","ICHmc1"
"210","ICHmc2"
"211","ESSFmv3"
"212","BWBSmw"
"213","SBSwk3"
"214","SBSmk2"
"215","ICHmc1a"
"216","BWBSdk"
"217","ICHvc"
"218","BWBSwk2"
"219","ESSFmv4"
"220","ESSFunp"
"221","ESSFun"
"222","SWBmk"
"223","SWBmks"
"224","ICHwc"
"225","SBSun"
"226","BWBSmk"
"227","BWBSwk3"
"228","SWBun"
"229","SWBuns"
"230","MHunp"
"231","SWBvks"
"232","BWBSvk"
"233","SWBvk"
"234","MHun"
"235","CCHun_CA"
"236","JPWxh_CA"
"237","CVGdm_CA"
"238","MSSDun_NV"
"239","CRFdh_CA"
"240","CMXxm_CA"
"241","CMXdm_OR"
"242","IMAun_CO"
"243","OWun_CA"
"244","MDCHun_NV"
"245","CWFds_CA"
"246","CWFmm_OR"
"247","IWFdw_OR"
"248","MHRFdm_OR"
"249","IWFxm_CA"
"250","CMAun_CA"
"251","CWFwm_OR"
"252","JPWxw_NV"
"253","PPxm_OR"
"254","PPxx_OR"
"255","CDFxm_CA"
"256","GBDxh_NV"
"257","WJPxm_OR"
"258","BGxh_WA"
"259","IDFxx_WA"
"260","IGFdw_OR"
"261","MHRFds_CA"
"262","IGFdk_WA"
"263","IGFmh_OR"
"264","IGFxm_OR"
"265","IWFxk_NV"
"266","MSdh_UT"
"267","MSdk_CO"
"268","IGFmm_OR"
"269","ESSFxk_UT"
"270","PPxh_CO"
"271","MSxx_NV"
"272","IMAun_WA"
"273","BGmw_WA"
"274","GBDxx_UT"
"275","IDFdh_UT"
"276","JPWdw_UT"
"277","GOun_CO"
"278","MSxm_CO"
"279","PPxk_OR"
"280","ESSFxc_WA"
"281","ESSFxc_CO"
"282","MHRFmm_OR"
"283","GBDdw_UT"
"284","ESSFmw_WA"
"285","CMAun_OR"
"286","JPWwm_CO"
"287","IWFdm_CO"
"288","CMXwm_OR"
"289","IDFxm_CO"
"290","IMAun_UT"
"291","IDFxh_WA"
"292","BGxx_WY"
"293","JPWdm_WY"
"294","ESSFxk_MT"
"295","ICHxw_WA"
"296","BGdh_OR"
"297","BGmk_NV"
"298","ESSFxw_OR"
"299","SGPdm_CO"
"300","BGmk_MT"
"301","MSdh_WY"
"302","MSxk_WA"
"303","IDFdm_WA"
"304","BGmm_MT"
"305","CWHvm_WA"
"306","CWHms_OR"
"307","CWHms_WA"
"308","MHds_WA"
"309","IDFdxx_WY"
"310","IDFdkx_MT"
"311","PPxw_WY"
"312","ESSFxk_WY"
"313","MSdm_WA"
"314","CWHdm_OR"
"315","CWHdm_WA"
"316","ESSFwh_MT"
"317","MSdw_MT"
"318","MSxh_OR"
"319","MSdh_MT"
"320","IMAun_MT"
"321","IDFdk_MT"
"322","IDFxh_ID"
"323","IMAun_WY"
"324","IDFdx_MT"
"325","IDFdm_MT"
"326","ICHdw_ID"
"327","ESSFwm_MT"
"328","ESSFdh_WA"
"329","CWHmh_OR"
"330","IDFdh_MT"
"331","MGPmw_MT"
"332","PPxh_WA"
"333","IMAun_OR"
"334","ESSFdk_MT"
"335","JPWmk_WY"
"336","ESSFvh_ID"
"337","ESSFxx_WY"
"338","ESSFdm_ID"
"339","MSmm_ID"
"340","MHds_OR"
"341","IMAun_ID"
"342","ICHvk_ID"
"343","IDFdk_WA"
"344","CWHxm_OR"
"345","CDFmm_OR"
"346","CWHds_WA"
"347","PPxw_MT"
"348","MHdm_OR"
"349","CWHvm_OR"
"350","CWHwh_WA"
"351","BGdw_WA"
"352","CWHxm_WA"
"353","MHms_WA"
"354","CMAun_WA"
"355","IDFdh_WA"
"356","CWHvh_WA"
"357","IDFxx_MT"
"358","MHmm_WA"
"359","ICHmw_MT"
"360","BGwm_WA"
"361","ESSFxh_WA"
"362","ICHdh_ID"
"363","PPmx_WY"
"364","ICHmh_MT"
