bgc,Actual,All,BioClim,Gini16,NoMonth,NzvCorr,Will35
CWHms1,5.147656315,8.6049691741,7.0228442803,7.281543455,7.4241259139,8.9783994236,4.978608113
CWHms2,1.2959900273,1.722351763,0.7816400881,2.3781756483,1.4588028448,2.9498911249,1.9081662211
CWHms_OR,,,0.0081752819,,,,
CWHvh1,4.4419493537,7.4248187344,13.4215958542,12.6053147411,8.4657122536,16.393518671,12.8547301211
CWHvh2,12.2300831583,20.255300138,12.8622125825,15.3301777676,17.827657106,14.6678413696,10.7405190833
CWHvh3,4.0160033103,4.4059226877,5.8386754817,5.0314010351,5.0165746764,3.1817088642,5.5310631797
CWHvh_WA,,1.7248459168,2.9415772789,3.1326571728,2.7058797448,5.6923517921,2.5077330818
CWHvm1,21.3718496558,18.5660651949,16.0511267799,12.3560379252,17.4765356766,24.0982368874,13.5817759538
CWHvm1_PR,,,,,,,4.3734986883
CWHvm2,15.5143294565,13.1573541155,11.0353834881,8.491208048,12.9701540164,9.326749571,10.3718000132
CWHvm_WA,,0.0001385641,0.3942148645,0.1111284082,0.037412307,0.0016627692,0.1234606131
CWHwh1,4.7801843218,4.227590691,1.319130232,3.6611406502,4.2079145888,2.0370308341,3.1002331734
CWHwh2,0.6523597828,0.0354724096,0.0042954871,0.2512167133,0.0507144606,0.0153806151,0.2894604049
CWHwh_WA,,0.2531566107,0.8211308566,0.3712132239,0.2905689177,0.9709186487,0.6948989615
CWHwm,2.994370201,6.7773086951,4.7581526299,8.7197002489,6.8619713602,11.330386457,6.1773261421
CWHws1,2.5552605681,5.0879351879,2.3409019054,6.2491023459,5.7364151759,9.6831364362,2.9731698937
CWHws2,6.9552249995,35.5110689839,13.7599693864,11.366413123,29.7937756538,47.5928885552,10.5160452413
CWHxm1,4.4402865845,3.6474228043,4.1548445385,4.161079923,3.7036798289,3.4204548085,4.0424690534
CWHxm2,4.8994880119,6.4346396758,5.118557854,5.0388834965,6.2927500374,7.5583945268,5.2371687236
CWHxm_WA,,0.6261711679,1.7640595571,0.0888195881,1.389797923,2.332033803,1.1998265419
ESSFab,,2.4196063142,9.7630879219,11.967781317,2.12003073,3.3134833233,11.0633734363
ESSFdc1,1.5753352529,2.1403996527,3.2274350172,2.3772056996,2.0928721664,2.1003546278,2.100631756
ESSFdc2,1.9314449899,0.7755432677,2.8990381002,1.7191647887,0.5995668607,0.2478911749,1.0238501349
ESSFdc3,1.2455526949,0.5178140417,4.248375306,4.2056975632,0.7086168074,0.0735775371,3.1480377879
ESSFdcp,0.090066665,0.0633237937,0.0410149736,0.5215552724,0.1373170231,0.0044340512,0.0386593839
ESSFdcw,0.6056636811,0.242487175,0.2502467646,1.4406509477,0.1970381502,0.0347795891,0.8940155732
ESSFdh_WA,,,,0.0085909742,,,
ESSFdk1,3.0777857892,0.9853293151,0.3306139426,1.4661467421,1.1344242867,0.0730232807,1.5125657156
ESSFdk2,4.0511985917,0.1751450224,0.056811281,0.7716634729,0.1599029714,0.0253572303,1.5150598694
ESSFdk_MT,,,,0.0011085128,,,0.0062353845
ESSFdkp,1.768077916,0.1919112785,0.0543171272,0.3344937374,0.5832162969,0.0473889222,0.6709273722
ESSFdkw,2.9845321499,0.1158395876,0.1015674853,0.4633583504,0.2707542514,0.0473889222,0.7762360882
ESSFdm_ID,,,0.0006928205,,,,
ESSFdv1,0.7305099352,0.0016627692,0.0077595896,0.3878409159,0.0018013333,0.0037412307,1.3451802828
ESSFdv2,0.4457607097,0.0299298456,0.0749631781,0.1866458427,0.0573655374,0.020784615,0.1754221506
ESSFdvp,1.1776562859,1.1743307475,0.7734648062,2.3715245715,0.8488436766,1.0292541348,3.3093264003
ESSFdvw,0.7044598844,0.0008313846,0.0034641025,0.1312202027,0.0001385641,0.0004156923,1.2670301304
ESSFmc,12.1100866477,9.1182106005,9.8161579722,2.5778465164,7.353596787,4.727807092,4.3946989956
ESSFmcp,2.6647262071,3.0010212778,2.8334972809,2.9346490739,2.548193799,1.4855457161,4.089026591
ESSFmh,1.6543167899,2.0851125768,1.5932100218,1.35792818,1.7612882751,0.9526281875,1.8620243758
ESSFmk,1.7890010951,0.0617995886,0.0502987683,0.1661383559,0.0293755892,0.2199012267,0.018013333
ESSFmkp,0.6034466555,,0.0012470769,0.1499263562,0.0022170256,0.0005542564,0.045726153
ESSFmm1,2.9489211762,0.0325625635,0.3229929171,0.6908806026,0.0547328195,0.0382436916,0.6058022452
ESSFmm2,0.278513841,,0.0018013333,0.0048497435,,,0.0015242051
ESSFmm3,1.3002855144,0.0001385641,0.0012470769,0.020784615,,,0.0072053332
ESSFmmp,4.1917025891,0.1653069713,0.0198146663,0.3232700453,0.0777344601,0.0601368194,0.1021217417
ESSFmmw,0.8024247031,,,0.0001385641,,,0.0008313846
ESSFmv1,1.9422529897,0.5236337339,3.8768849539,7.697235755,0.3609594805,0.1157010235,4.0631151043
ESSFmv2,5.7350295349,0.0034641025,0.0148263587,2.1764263187,0.0031869743,0.0422620505,0.5786436816
ESSFmv3,13.9827804592,0.5358273747,3.343551733,2.5922571828,0.760716909,0.09699487,5.5856574351
ESSFmv4,7.9103473408,0.9027451115,12.0220984442,5.9786252227,2.7547928721,1.2412572078,2.0522728851
ESSFmvp,5.0419319067,0.0142721023,1.1737764911,1.2585777203,0.0378279993,0.0019398974,3.7635395201
ESSFmw,1.2081403879,0.365809224,0.3415605065,1.0916079798,0.3592967113,0.0971334341,1.058629724
ESSFmw1,1.4705807933,0.7989606006,0.8455181382,1.3770500258,1.0415863397,0.0853554856,1.7817957619
ESSFmw2,1.1031088001,1.6882649944,3.1046672246,3.3382862972,1.919112785,2.1287602683,2.3676447767
ESSFmw_WA,,0.0303455379,0.648479988,0.0239715893,0.0490516914,0.2084004064,0.0200917945
ESSFmwp,0.6573480904,0.0002771282,0.0012470769,0.6228456295,0.0466961017,,1.0532257241
ESSFmwp_WA,,,,0.0029098461,,,
ESSFmww,0.4222048127,0.0015242051,0.0115008203,0.9414044954,0.0539014349,0.0078981537,1.0138735197
ESSFun,6.6794824405,9.2991753151,8.4874668173,9.4150149027,9.7648892552,17.157006862,7.4263429395
ESSFunp,4.1516575642,5.3424774396,3.9722170547,7.0832582279,5.2916244149,5.8591829685,6.7441918752
ESSFvc,2.4184978014,0.0663722039,0.0070667691,0.1500649203,0.2947258407,0.0521001016,0.4482548635
ESSFvcp,1.490949716,0.0031869743,0.0078981537,0.0059582563,0.0005542564,,0.0239715893
ESSFvcw,1.4141852046,0.0073438973,0.0020784615,0.002771282,0.0034641025,0.0005542564,0.070667691
ESSFvh_ID,,0.0008313846,3.7746246481,0.1060015365,0.0757945627,0.0203689227,0.0552870759
ESSFwc2,6.1911825521,3.9284307991,0.6717587568,3.4061827062,3.3166702976,1.474322024,2.9390831251
ESSFwc3,8.7249656847,4.3413518171,4.1979379736,3.3023981953,3.5906115233,0.2156057396,3.1420795316
ESSFwc4,3.5214680374,2.7568713336,6.3193543446,6.4663708547,3.0687791227,3.7801672121,6.698188594
ESSFwcp,8.2613302061,7.0520813054,4.2590447417,4.6382946834,7.8855443669,1.8672898116,8.0022153391
ESSFwcw,5.6516139467,5.1004059569,4.1849129482,5.9768238894,5.970727069,1.7686321724,7.6649503197
ESSFwh1,2.1938853953,0.9312893161,2.1744864213,2.9785738936,1.4777861265,0.8773878812,2.8243520503
ESSFwh2,0.4756905553,0.0164891279,0.0060968204,0.0778730242,0.004156923,0.0054039999,0.1392569205
ESSFwh3,0.8761408043,,,1.3979732049,,,1.9960158605
ESSFwh_MT,,,0.0543171272,0.0899281009,,,0.0036026666
ESSFwk1,5.1398967254,6.863079873,7.2584032503,9.9023448424,8.2458110269,1.5684070479,8.6960057878
ESSFwk2,5.87511784,0.0284056405,0.145492305,0.0254957944,0.0713605115,0.0188447176,0.0878496394
ESSFwm1,0.6897720898,,,0.0062353845,,,0.0102537434
ESSFwm2,1.0099937249,0.1073871775,0.0723304602,0.0156577433,0.1673854328,0.6085735272,0.2545422517
ESSFwm3,0.7314798839,,,1.0278684938,,,1.3927077691
ESSFwm4,1.6151031496,2.8922484593,1.5987525858,4.2392300754,3.1039744041,0.6010910658,4.7668821682
ESSFwm_MT,,1.073871775,5.945785531,1.7338525833,1.6763484818,0.5934700403,1.813804069
ESSFwmp,0.7300942429,0.0405992813,0.0317311789,1.0418634679,0.0036026666,0.0006928205,2.0734731924
ESSFwmw,1.4903954596,1.7603183264,0.4191564025,0.9606649053,1.382869718,2.1413696014,1.5251750487
ESSFwv,6.6424858258,68.0259664335,46.1605514535,34.4568733111,66.7621232774,64.5207103958,41.0278600613
ESSFwvp,2.1862643698,23.2058840834,28.983452797,28.7624430575,27.4927802092,12.617646946,20.1432017811
ESSFxc1,0.9013594705,1.1312373124,4.801246065,1.4976007928,1.7984234539,0.2704771232,0.9975229559
ESSFxc2,0.5882046045,0.0252186662,0.1657226636,0.4490862481,0.0410149736,0.045726153,0.8984496244
ESSFxc3,0.4820645039,0.1503420485,0.4550445044,0.4371697355,0.1001818443,0.0870182548,0.6006753735
ESSFxc_CO,,,0.0019398974,0.0004156923,,,
ESSFxc_WA,,0.2255823548,1.1220920818,0.4012816336,0.1903870734,0.0444790761,0.3083051225
ESSFxcp,0.1540832792,0.156577433,0.8984496244,0.403221531,0.1143153825,0.0465575376,0.2704771232
ESSFxcp_CO,,,0.0178747689,,,,
ESSFxcp_WA,,0.0048497435,0.1804104582,0.2595305593,0.0011085128,,0.1367627667
ESSFxcw,0.1973152784,0.1342686129,0.1364856385,0.4168008128,0.2032735347,0.0106694357,0.088681024
ESSFxh_WA,,0.0005542564,0.2862734306,0.2261366112,0.0073438973,,0.0157963074
ESSFxk_MT,,0.0022170256,2.162985601,0.3860395826,0.0738546653,0.0002771282,0.2427643032
ESSFxk_UT,,,0.0031869743,,,,
ESSFxkp_MT,,,0.0056811281,,,,0.0001385641
ESSFxv1,2.919545587,1.8681211962,2.2958685729,2.4294443653,1.8088157614,1.6976873532,1.8893215035
ESSFxv2,0.9465313671,0.1601800996,0.1012903571,0.0515458452,0.0828613318,0.0299298456,0.0300684097
ESSFxvp,1.8031346333,1.1527147479,5.5923085119,3.1963966588,1.0482374165,0.9371090083,1.6455872516
ESSFxvw,0.0757945627,0.0026327179,0.0011085128,0.0026327179,,0.0062353845,
ESSFxw_OR,,,0.667878962,0.0483588709,,,0.0012470769
ESSFxwp_OR,,,,0.0009699487,,,
FGff,,0.0002771282,3.1271146088,0.2833635845,0.0006928205,,0.297912815
FGnf,,,0.2839178409,0.0640166142,,,0.0356109737
ICHdh_ID,,0.0009699487,0.8839003939,0.1385641,0.004156923,,0.1508963049
ICHdk,0.3508443012,0.0004156923,0.0074824614,0.0162119997,0.0354724096,,0.0259114867
ICHdm,1.8296003764,1.9943530913,0.7266301404,2.9891047652,1.6798125843,0.1405039974,3.0604652767
ICHdw1,3.7489902896,11.2290960999,9.5641098743,10.3061206298,10.5569216508,12.1286542371,9.276866495
ICHdw3,1.3877194615,7.3821409916,5.2489466721,5.735168099,5.6500897416,6.7206359782,7.0531898182
ICHdw4,1.3152504372,0.9612191617,0.8191909592,0.7422878837,0.7701392678,0.9074562909,0.881267676
ICHdw_ID,,0.0342253327,2.5318432352,0.5686670664,0.0771802037,0.0656793834,0.0613838963
ICHmc1,4.797089142,29.2698647917,23.3275433632,14.9941598251,29.5267626331,41.0007014977,14.3013393251
ICHmc1a,0.2157443037,0.0040183589,0.0241101534,0.2731098411,0.0602753835,0.1582402022,0.0947778444
ICHmc2,3.2514066065,26.9658209369,8.9357216808,19.2282630288,22.4397631745,61.4789512726,13.8949308198
ICHmh_MT,,,0.0006928205,0.0200917945,,,0.0159348715
ICHmk1,1.1698966963,2.3522641616,3.558326088,1.9534766818,3.3245684513,0.8367885999,2.6799682581
ICHmk2,0.9857450074,0.5082531188,0.2823936358,0.0920065624,0.199532304,0.0642937424,0.2294621496
ICHmk3,1.069714852,1.2258765927,0.2093703551,0.6173030655,0.7366067556,0.3628993779,0.6319908601
ICHmk4,0.6903263462,,,0.0500216401,,,0.0299298456
ICHmk5,0.8427468562,,,0.0033255384,,,0.0411535377
ICHmm,1.5319646896,0.9337834699,0.2056291244,1.819346633,0.4730578374,0.3925520953,1.1345628508
ICHmw1,1.4047628458,0.011085128,0.0048497435,0.005542564,0.0045726153,0.0899281009,0.2354204059
ICHmw2,4.989693241,12.4297540264,9.2951569562,6.0028739402,11.5106583511,20.838654999,5.6765554847
ICHmw3,3.5412827037,2.4366496985,2.9038878437,8.6662145063,2.9051349206,1.3701218208,9.2749265976
ICHmw4,1.0165062376,2.6444958485,3.9009951073,4.899626576,3.5065031146,1.8701996577,3.8681554156
ICHmw5,2.3201172904,2.621632772,4.04607172,2.8570531779,1.9949073477,0.9041307525,3.0097508161
ICHmw_MT,,0.0004156923,0.0227245124,0.0002771282,0.001385641,,
ICHvc,2.0353680649,0.3259027632,0.9387717775,1.1858315678,0.7442277811,1.9116303236,1.2675843868
ICHvk1,2.5195110303,0.1021217417,0.0696977423,1.1056029539,0.05542564,0.2171299447,0.5749024509
ICHvk2,1.3181602833,0.0120550767,0.0001385641,0.1636442021,0.0230016406,0.0644323065,0.3752315828
ICHwc,1.1147481845,1.1543775171,0.7088939356,0.7160992688,0.4289944536,0.6870008078,0.5385986567
ICHwk1,6.045551683,7.2805735063,1.3866109487,4.0367879253,4.8792576533,7.849656265,3.3165317335
ICHwk2,2.0385550392,7.6846264219,3.7233559311,4.9500639084,7.8249918552,4.2504537675,7.0720345358
ICHwk3,0.9412659313,0.0881267676,0.0856326138,1.2213039774,0.1589330227,0.0009699487,1.190265619
ICHwk4,1.4245775121,3.1375069163,2.7812586152,2.6102705158,4.3423217658,0.7160992688,1.5731182273
ICHxw,1.3160818218,3.9332805426,1.7258158655,2.8394555372,3.5265949091,3.4986049609,3.6176315228
ICHxw_WA,,0.0576426656,0.2916774305,0.4151380436,0.0993504597,0.0541785631,0.4385553765
ICHxwa,0.1874772273,0.113622562,0.0170433843,0.2556507645,0.5401228618,0.1988394835,0.3448860449
IDFdc,0.7436735247,0.0001385641,,0.4676538375,,,1.1913741318
IDFdh_MT,,0.2257209189,1.0902223388,1.2601019254,0.3175889172,0.1895556888,1.2467997718
IDFdh_UT,,,0.0009699487,,,,
IDFdh_WA,,0.040183589,0.1172252286,0.0989347674,0.0227245124,0.0006928205,0.0264657431
IDFdk1,5.3959631822,16.5229375404,25.2474875328,21.381826271,17.8358323879,5.6586807158,14.1960306091
IDFdk2,2.4324927755,1.8117256075,1.6325622262,3.1054986092,2.0931492946,0.5160127084,2.616090208
IDFdk3,9.9982311996,4.0248714127,17.6505721862,6.2826348581,5.9219525058,3.3678004505,12.9436882733
IDFdk4,3.72737429,4.2050047427,4.8834145763,8.6336519428,4.1379397183,5.2458982619,7.8231905219
IDFdk5,0.7688921909,,0.0030484102,0.0181518971,,,0.2498310723
IDFdk_MT,,,5.9326219415,0.0095609229,0.006928205,,0.0699748705
IDFdk_WA,,,0.0018013333,0.0591668707,,,0.0002771282
IDFdm1,1.5573219199,1.162552799,1.3493372058,1.2314191567,1.4985707415,0.9829737254,1.1838916704
IDFdm2,2.153286114,0.5638173229,1.1083742359,1.1740536193,0.6922662436,0.020784615,2.1658954471
IDFdm_MT,,0.1012903571,3.820212237,1.640598944,0.2983285073,0.0085909742,0.7404865504
IDFdm_WA,,0.0001385641,0.1751450224,0.005542564,,0.0008313846,0.0004156923
IDFdw,1.115441005,5.0398534452,2.7945607688,1.9505668357,4.1703637177,4.3919277136,1.4021301279
IDFdx_MT,,,0.6735600901,0.0087295383,,,0.0016627692
IDFmw1,1.4406509477,2.3203944186,2.7437077441,2.4919367744,3.3816568605,1.9649775021,2.1367969861
IDFmw2,1.9234082721,3.0782014815,4.589242992,4.2177526399,4.1833887431,3.5620673187,1.9915818093
IDFww,1.1890185421,1.6149645855,0.6727287055,2.0996618073,1.4704422292,1.2829650019,1.8302931969
IDFww1,0.184290253,0.1633670739,0.1696024584,0.4666838888,0.4576772223,1.0126264428,0.4325971202
IDFxc,0.5912530147,0.0002771282,0.0004156923,0.0767645114,0.0023555897,0.0216159996,0.4389710688
IDFxh1,2.5991853878,6.7653921825,7.091710638,7.4938236562,6.3763041897,5.8334100459,5.1868699553
IDFxh2,4.418809149,10.151205966,7.9136728792,8.9703627058,9.5258661827,7.5615815011,7.6794995502
IDFxh4,0.2994370201,0.0181518971,0.0164891279,0.6530526033,0.1558846125,0.0005542564,0.0922836906
IDFxh_ID,,0.424006146,2.8348829219,0.8312460359,0.737161012,0.0153806151,0.7817786522
IDFxh_WA,,0.0867411266,0.3002684047,0.2603619439,0.04156923,0.0030484102,0.1486792793
IDFxk,0.3803584545,,,,,0.0024941538,
IDFxm,2.5899015931,0.6281110653,2.0956434484,1.5161683822,0.8851474708,0.9271323931,3.6759670089
IDFxm_CO,,,0.0002771282,,,,
IDFxw,0.4457607097,0.0563955887,0.1143153825,0.4901012217,0.0120550767,0.0047111794,0.9911490073
IDFxx1,,0.0001385641,,,0.0023555897,,
IDFxx2,0.9069020345,0.364423583,0.1269247156,0.2460898416,0.3716289162,0.0052654358,0.454490248
IDFxx_MT,,0.101151793,0.3015154816,0.1393954846,0.0606910758,0.0328396917,0.2941715843
IDFxx_WA,,,,0.0052654358,,,
IGFdk_WA,,0.0931150752,0.6053865529,0.2445656365,0.1946825605,0.011085128,0.1679396892
IGFdw_OR,,0.001385641,0.2158828678,0.0259114867,0.0342253327,,0.0063739486
IGFmm_OR,,,4.4470762254,0.2837792768,,,0.042954871
IMAab,,0.0002771282,1.0151205966,0.3563868652,0.0040183589,0.0012470769,0.7914781392
IMAun,11.2853531245,10.1160106846,5.9241695314,7.8532589316,9.6017993095,3.9285693632,8.4776287662
IMAun_CO,,,0.0238330252,,,,
IMAun_MT,,0.0236944611,0.0349181532,0.0766259473,0.038797948,0.0145492305,0.0701134346
IMAun_WA,,0.0001385641,0.1028145622,0.0109465639,,0.0004156923,0.0108079998
IMAun_WY,,0.0008313846,0.031869743,0.1342686129,0.0001385641,0.0004156923,0.2132501499
IMAunp,1.1837531063,0.6466786547,5.7009427663,4.0090751053,1.3309081805,0.3932449158,2.243352779
IWFdw_OR,,,0.0115008203,,,,
IWFxk_NV,,,0.2294621496,0.0001385641,,,
JPWdm_WY,,,0.0539014349,,,,
JPWxw_NV,,,0.088681024,,,,
MGPdm,,,,0.0066510768,,,
MGPmg,,,0.0106694357,0.0006928205,,,0.0001385641
MGPmw_MT,,,0.0105308716,,,,
MHdm_OR,,,0.134407177,0.0002771282,0.0134407177,,
MHmm1,14.2073928653,12.6719640732,13.0815595528,12.2408911581,12.5056871532,10.3165129373,11.6028034776
MHmm2,14.7800782906,21.8213515962,18.9660997516,10.986747489,19.5507016895,31.4658286485,12.4328024366
MHmm_WA,,0.0026327179,0.588897425,0.5367973234,0.0315926148,0.0115008203,0.3224386607
MHmmp,9.1111438314,16.2126925205,15.8963506802,13.7562281557,16.153802778,26.7389915052,12.0902719814
MHmmp_WA,,,0.0011085128,0.0121936408,,0.0001385641,0.0022170256
MHms_WA,,,0.0275742559,0.0016627692,,,0.0001385641
MHmsp_WA,,,0.0145492305,0.0162119997,0.0001385641,,0.0095609229
MHun,0.05542564,0.0016627692,0.0798129216,0.3750930187,0.0128864613,0.0001385641,0.0382436916
MHunp,0.6130075784,,0.0031869743,0.8589588559,0.0006928205,0.0033255384,0.7102795766
MHwh,0.2976356868,0.1369013308,0.1387026641,0.1000432802,0.1420282025,0.1495106639,0.2316791752
MHwh1,0.7946651135,0.0006928205,0.7018271665,0.8976182398,0.0210617432,0.0001385641,1.0458818268
MHwhp,0.3881180441,0.1073871775,0.1242919977,0.713605115,0.090066665,0.0545942554,0.3670563009
MSab,,1.1696195681,10.7513270831,7.3373847873,4.8166266801,0.6752228593,0.7016886024
MSab_N,,,,,,,8.336016256
MSdc1,0.3365721989,0.0070667691,0.0385208198,0.4008659413,0.0372737429,0.0383822557,0.2578677901
MSdc2,0.5758723996,0.0228630765,0.0008313846,0.1793019454,0.0175976407,0.0023555897,0.1691867661
MSdc3,0.2405472776,,0.0915908701,0.3234086094,0.0516844093,0.0008313846,0.0284056405
MSdh_UT,,,0.0354724096,,,,
MSdh_WY,,0.0009699487,0.964406136,0.0045726153,0.0004156923,,0.0098380511
MSdk,3.2027706074,0.2072918936,0.3329695323,0.2544036876,0.1176409209,0.0816142549,0.8650556763
MSdk_CO,,,0.0002771282,,,,
MSdm1,3.0740445585,1.9081662211,8.4109794341,6.0071694273,2.1646483702,0.508530247,3.4894597303
MSdm2,2.8057844609,0.9046850089,2.7772402563,4.4261530463,1.3433789495,0.5410928105,3.1381997368
MSdm3,1.0717933135,0.6854766027,4.2521165367,3.4255816802,0.737161012,0.0325625635,3.5464095754
MSdm_WA,,0.0849397933,1.1683724912,1.1456479788,0.2054905603,0.0045726153,0.3423918911
MSdv,0.282670764,,0.0077595896,0.0016627692,,,
MSdw,2.7420449749,0.3378192758,1.1202907485,1.1899884908,0.1921884067,0.1104355877,0.6587337314
MSdw_MT,,0.0400450249,1.2279550542,0.241101534,0.0770416396,0.0044340512,0.3124620455
MSmm_ID,,,0.0012470769,,,,
MSmw1,0.1532518946,,0.0019398974,0.0482203068,0.0002771282,0.0006928205,0.0070667691
MSmw2,0.2294621496,0.1244305618,0.066510768,0.3771714802,0.3041481995,0.5550877846,0.2721398924
MSxh_OR,,,0.1075257416,0.0062353845,,,0.0040183589
MSxk1,1.8178224279,1.7628124802,4.8532076025,3.0080880469,3.4107553215,0.5322247081,2.2554078557
MSxk2,2.305706624,0.7410408068,4.2457425881,5.7236672787,0.9933660329,0.0253572303,2.7590883592
MSxk3,1.0202474683,0.5179526058,1.4324756658,1.4619898191,0.4896855294,0.1046158955,2.0384164751
MSxk_WA,,,,0.0048497435,,,0.034641025
MSxm_CO,,,0.1082185621,0.0002771282,,,
MSxv,8.7953562475,4.5180210446,1.8532948375,1.7726505313,3.5182810631,4.0729531554,2.9834236371
MSxx_NV,,,0.0054039999,0.0042954871,,,
PPxh1,1.4750148445,4.3462015606,3.831297365,4.8685882176,4.5223165317,3.3442445535,3.5279805501
PPxh2,1.3680433593,1.0462975191,0.6533297315,1.2509566948,1.0914694157,1.4593571012,1.4263788454
PPxh3,0.1104355877,0.0586126143,,0.0315926148,0.02771282,0.2348661495,
PPxh_WA,,0.0602753835,0.0367194865,0.2255823548,0.0315926148,0.0367194865,0.0088681024
PPxx_OR,,0.0005542564,0.0001385641,0.0210617432,0.0001385641,,0.0117779485
SASbo,,0.0008313846,,,,,
SBAPcp,,,0.1949596887,,0.023555897,,0.001385641
SBAPfp,,,0.0870182548,0.0605525117,,,0.0196761022
SBPSdc,4.0615908992,2.8024589225,0.4111196847,1.1011689027,1.2395944386,1.6557024309,1.4762619214
SBPSmc,3.163418403,1.6548710463,0.0001385641,0.0031869743,1.2474925923,0.5798907585,0.6662161928
SBPSmk,4.0746159246,1.2580234639,1.7380095063,3.749544546,2.1179522685,0.4853900423,2.2939286755
SBPSxc,11.3536652258,2.858577383,5.3514841061,3.2971327595,4.6633747855,3.1224034294,6.9305605897
SBSdh1,0.6813196797,0.1752835865,0.1301116899,0.2940330202,0.0248029739,0.0001385641,1.0180304427
SBSdh2,0.2020264578,,0.0067896409,0.1285874848,,0.0209231791,0.1830431761
