bgc,Actual,All,BioClim,Gini16,NoMonth,NzvCorr,Will35
BAFAun,61.275816302,49.4934337508,43.7028400118,33.7102899403,47.9645174714,53.1401637346,39.154057737
BAFAunp,1.6088677651,0.7439506529,0.439248197,2.6347963615,1.2037063367,0.7075082946,1.9852078607
BGdh_OR,,,0.0002771282,,,,
BGdw_WA,,,0.0085909742,0.0001385641,,,0.0005542564
BGmk_MT,,,0.0299298456,,,,
BGmw_WA,,0.5906987583,1.4140466405,0.8218236771,0.7561442937,0.2974971227,0.5613231691
BGwm_WA,,0.0175976407,0.2524637902,0.1105741518,0.0184290253,,0.1982852271
BGxh1,0.281285123,0.363037942,0.3673334291,0.3526456345,0.2767125077,0.5337489132,0.3953233773
BGxh2,0.6791026541,0.0137178459,0.0044340512,0.0712219474,0.0074824614,0.0051268717,0.4028058387
BGxh3,0.3774486084,0.1409196897,0.004156923,0.1134839979,0.0282670764,0.0425391787,0.1675239969
BGxh_WA,,0.0002771282,0.0063739486,,0.0033255384,,0.005542564
BGxw1,0.6829824489,0.0012470769,,0.0534857426,0.0004156923,,0.0475274863
BGxw2,0.5494066565,0.0004156923,0.0048497435,0.0074824614,0.0127478972,,0.3225772248
BWBScm,,0.9874077766,17.2021787586,20.3195938804,2.5914257982,0.001385641,12.1486074675
BWBSdk,29.4577577113,29.1500068452,26.2781273086,35.3231760643,31.937639409,30.5004525638,34.6375608975
BWBSdm,,0.1736208173,0.5435869643,0.6225685013,0.2976356868,0.5273749646,0.6317137319
BWBSlb,,,0.1576859458,0.4131981462,0.0016627692,0.0040183589,
BWBSlf,,1.2592705408,8.0508513382,10.3612691416,1.6484970977,0.0792586652,8.2093686686
BWBSmk,96.4798272403,81.9879622777,58.1994161538,52.4498373884,78.7443152608,91.5542891776,66.9372682998
BWBSmw,28.9995262326,29.4141100198,20.4391746987,22.5786044027,27.0734852426,15.8242973482,25.1455043552
BWBSpp,,,,0.8063044979,0.0044340512,0.2054905603,0.0654022552
BWBSub,,,0.001385641,0.0001385641,,0.0001385641,0.0004156923
BWBSuf,,3.2778723496,6.4216146504,7.4787201693,3.9544808499,2.0482545262,8.5995651742
BWBSvk,0.7730491139,0.4485319917,0.1202736388,2.6762270274,0.1888628683,0.0020784615,2.0131978089
BWBSwk1,3.2983798364,0.1033688186,0.0266043072,2.6643105148,0.2304320983,0.1776391762,3.1517790186
BWBSwk2,3.531998909,2.9480897916,3.9813622853,4.7393079123,3.1111797373,0.9274095213,1.1834759781
BWBSwk3,1.5014805876,0.6142546553,1.2800551558,1.9548623228,1.1649083887,1.8406855044,1.2873990531
CDFmm,2.5494408759,3.2300677351,2.196240985,4.0949848473,2.5750752344,2.2681557529,2.6062521569
CDFmm_OR,,,,,,,0.0009699487
CDFmm_WA,,,0.0408764095,0.1615657406,,,0.0313154866
CMAun,14.4267398356,15.4848153032,16.4583666698,18.1521742282,15.2173865902,22.828435475,14.2173694805
CMAun_CA,,,0.5063132214,0.1120983569,,,
CMAun_OR,,,,,,,0.0001385641
CMAun_WA,,0.1535290228,1.6099762779,1.4166793584,0.6250626551,0.5373515798,0.5171212212
CMAunp,21.1985059667,20.7523295647,23.270454954,17.1231972216,18.0126401795,20.6784748994,17.8099209012
CMAwh,0.029098461,,0.0051268717,0.0044340512,0.0001385641,,
CMXdm_OR,,,0.0123322049,0.0009699487,,,
CMXwm_OR,,,0.0074824614,,,,
CRFdh_CA,,,0.0029098461,,,0.0008313846,
CWFmm_OR,,,0.0576426656,0.0005542564,0.0004156923,,0.0137178459
CWHdm,4.9050305759,7.9768581088,9.7777757165,10.590454163,8.5434467137,4.8085899623,8.8894412714
CWHdm_OR,,,0.0738546653,,,,0.0005542564
CWHdm_WA,,0.7645967038,1.4851300238,0.6644148595,0.8600673687,1.0485145447,2.0898237562
CWHds1,2.541265594,4.3787641241,5.0729702651,5.2754124152,4.9061390887,5.5893986658,3.7635395201
CWHds2,0.8104614209,0.0126093331,0.0005542564,1.6038794575,0.0149649228,0.0091452306,1.6063736113
CWHmh_OR,,,0.0813371267,0.0001385641,0.0209231791,0.0044340512,0.0045726153
CWHmm1,1.4540916654,0.4504718891,0.4399410175,0.8894429579,0.338096404,0.0968563059,0.7009957819
CWHmm2,2.2804879578,1.7678007878,2.1556417037,3.3400876305,2.2037234464,1.2192255159,3.0006055855
