Var,Num
Eref_at,189
PPT.dormant,189
TD,183
PPT_JAS,176
PAS_wt,163
PPT_MJ,131
PPT_sm,125
Tmin_wt,118
NFFD_wt,115
CMDMax,102
MSP,98
EMT,88
Tmax_wt,87
MCMT,83
MAP,82
PPT_sp,74
CMI,72
DD18_wt,68
PPT,67
CMD.total,63
Eref_sm,63
PAS_at,62
CMD_at,61
PAS_sp,54
SHM,53
Eref,52
DD5_sp,45
Tmax_sp,44
CMD_sm,43
DD18_sp,42
AHM,41
Tmax_sm,39
Tave_wt,36
TmaxJuly,35
DD_18_wt,35
DD_0_wt,35
CMD.grow,34
EXT,33
DD5_wt,32
Tmin_sp,32
PAS,31
DD_18_sp,27
CMD,26
DD_0_sp,24
Tmin,23
DD_0_at,22
Eref_sp,21
CMD_sp,20
Tave_sp,20
Eref_wt,20
NFFD_sp,19
DD_0,18
Tmin_at,18
Tmin_sm,17
NFFD_sm,14
FFP,12
bFFP,12
Tave_at,11
DD18_sm,11
eFFP,11
MWMT,10
Tave_sm,10
Tmax,10
PAS_sm,10
NFFD_at,10
Tmax_at,9
DD5_sm,8
NFFD,8
DD18,8
DD_18,8
DD_18_sm,7
MAT,7
Tave,7
DD5,7
DD_18_at,6
DD5.grow,6
DD18_at,4
DD5_at,4
