Var,Num
PAS_wt,173
Eref_at,167
PPT_JAS,164
PPT_MJ,125
Tmin_wt,117
CMI,97
MCMT,83
EMT,82
PAS_at,80
CMDMax,73
CMD.total,68
SHM,65
Tmax_wt,61
PPT_sp,61
AHM,57
PAS,46
Eref_sm,39
DD_0_wt,35
EXT,31
DD18_sp,27
Tmax_sp,27
DD_18_wt,27
Eref,27
PAS_sp,27
CMD.grow,26
CMD_sm,24
DD5_sp,24
Tave_wt,22
DD5_wt,20
DD_18_sp,19
Tmin_sm,19
Eref_wt,18
Tmin_sp,18
Tmax_sm,18
CMD_sp,17
DD_0_at,17
DD_0_sp,16
DD18_sm,16
TmaxJuly,16
NFFD_sm,15
Tmin_at,13
MWMT,12
Tave_sp,12
Tmin,12
CMD,11
Tave_sm,11
Eref_sp,11
NFFD_sp,10
bFFP,9
DD_0,9
Tave_at,8
eFFP,8
FFP,3
Tmax,3
