Var,var.group,var.season,var.type,corr_caus
,,,,
AHM,drought,annual,mean,
bFFP,grow.length,annual,mean,
CMD,drought,annual,mean,
CMD.grow,drought,grow,mean,
CMD.total,drought,annual,mean,
CMD_at,drought,dormant,mean,corr
CMD_sm,drought,grow,mean,
CMD_sp,drought,grow,mean,
CMDMax,drought,grow,mean,
CMI,drought,annual,mean,
DD_0,temp-cold,annual,mean,
DD_0_at,temp-cold,dormant,mean,corr
DD_0_sp,temp-cold,grow,mean,
DD_0_wt,temp-cold,dormant,mean,corr
DD_18,temp,annual,mean,corr
DD_18_at,temp,dormant,mean,corr
DD_18_sm,temp,grow,mean,corr
DD_18_sp,temp,grow,mean,corr
DD_18_wt,temp,dormant,mean,corr
DD18,temp-warm,annual,mean,corr
DD18_at,temp-warm,dormant,mean,corr
DD18_sm,temp-warm,grow,mean,corr
DD18_sp,temp-warm,grow,mean,corr
DD18_wt,temp-warm,dormant,mean,corr
DD5,temp,annual,mean,
DD5.grow,temp,grow,mean,
DD5_at,temp,dormant,mean,corr
DD5_sm,temp,grow,mean,
DD5_sp,temp,grow,mean,
DD5_wt,temp,dormant,mean,corr
eFFP,grow.length,annual,mean,
EMT,temp-cold,annual,norm.extreme,
Eref,evaporation,annual,mean,corr
Eref_at,evaporation,dormant,mean,corr
Eref_sm,evaporation,grow,mean,
Eref_sp,evaporation,grow,mean,
Eref_wt,evaporation,dormant,mean,corr
EXT,temp,annual,norm.extreme,
FFP,grow.length,annual,mean,
MAP,precip,annual,mean,
MAT,temp,annual,mean,
MCMT,temp-cold,annual,extreme,
MSP,precip,grow,mean,
MWMT,temp,annual,extreme,
NFFD,grow.length,annual,mean,
NFFD_at,grow.length,dormant,mean,corr
NFFD_sm,grow.length,grow,mean,
NFFD_sp,grow.length,grow,mean,
NFFD_wt,grow.length,dormant,mean,corr
PAS,snow,annual,mean,
PAS_at,snow,dormant,mean,corr
PAS_sm,snow,grow,mean,
PAS_sp,snow,grow,mean,
PAS_wt,snow,dormant,mean,corr
PPT,precip,annual,mean,
PPT.dormant,precip,dormant,mean,corr
PPT_JAS,precip,grow,mean,
PPT_MJ,precip,grow,mean,
PPT_sm,precip,grow,mean,dup
PPT_sp,precip,grow,mean,dup
SHM,drought,annual,mean,
Tave,temp,annual,mean,
Tave_at,temp,dormant,mean,corr
Tave_sm,temp,grow,mean,
Tave_sp,temp,grow,mean,
Tave_wt,temp,dormant,mean,corr
TD,temp,annual,mean,corr
Tmax,temp-warm,annual,mean,
Tmax_at,temp-warm,dormant,mean,corr
Tmax_sm,temp-warm,grow,mean,
Tmax_sp,temp-warm,grow,mean,
Tmax_wt,temp-warm,dormant,mean,corr
TmaxJuly,temp-warm,grow,mean,
Tmin,temp-cold,annual,mean,
Tmin_at,temp-cold,dormant,mean,
Tmin_sm,temp-cold,grow,mean,
Tmin_sp,temp-cold,grow,mean,
Tmin_wt,temp-cold,dormant,mean,
